,p_name,manufacturer_processed,longitude,latitude,numb_turbines,avg_turbine_capacity,turbine_blade_weight,turbine_blade_length,text
10,Harbec Plastics,other,-77.360138,43.226955,1.0,850.0,2.6165702,29.0,Project Name: Harbec Plastics<br>Number of Turbines: 1.0<br>Average Turbine Capacity: 850.0 MW
9,Harbec Plastics,fuhrlander,-77.36174,43.226089,2.0,250.0,0.6850239,14.5,Project Name: Harbec Plastics<br>Number of Turbines: 2.0<br>Average Turbine Capacity: 250.0 MW
8,Half Hollow Nursery,other,-72.570854,40.969059,1.0,100.0,0.6690399,41.0,Project Name: Half Hollow Nursery<br>Number of Turbines: 1.0<br>Average Turbine Capacity: 100.0 MW
7,Fenner Wind Power Project - Repower,goldwind,-75.767838,42.975552,1.0,1500.0,5.9250307,41.0,Project Name: Fenner Wind Power Project - Repower<br>Number of Turbines: 1.0<br>Average Turbine Capacity: 1500.0 MW
6,Fenner Wind Power Project,ge wind,-75.760677,42.98913605263158,20.0,1500.0,4.3855386,35.25,Project Name: Fenner Wind Power Project<br>Number of Turbines: 20.0<br>Average Turbine Capacity: 1500.0 MW
5,Dutch Hill/Cohocton,other,-77.48881,42.52200473913044,50.0,2500.0,9.03261,48.0,Project Name: Dutch Hill/Cohocton<br>Number of Turbines: 50.0<br>Average Turbine Capacity: 2500.0 MW
4,Dutch Hill/Cohocton,ge wind,-77.42565603703704,42.54246218518519,27.0,2500.0,10.281733,58.0,Project Name: Dutch Hill/Cohocton<br>Number of Turbines: 27.0<br>Average Turbine Capacity: 2500.0 MW
3,Copenhagen,vestas,-75.6393374,43.890877725,40.0,2000.0,8.940762,55.0,Project Name: Copenhagen<br>Number of Turbines: 40.0<br>Average Turbine Capacity: 2000.0 MW
2,Cassadaga,siemens gamesa renewable energy,-79.1962678,42.3231818,37.0,2625.0,10.516151,57.0,Project Name: Cassadaga<br>Number of Turbines: 37.0<br>Average Turbine Capacity: 2625.0 MW
1,Cassadaga,nordex,-79.16671711111111,42.312634555555555,37.0,3675.0,17.26418,58.5,Project Name: Cassadaga<br>Number of Turbines: 37.0<br>Average Turbine Capacity: 3675.0 MW
0,Arkwright Summit,vestas,-79.23183255555556,42.40774783333333,36.0,2177.777777777778,8.940762,55.0,Project Name: Arkwright Summit<br>Number of Turbines: 36.0<br>Average Turbine Capacity: 2177.777777777778 MW
